Product,Version,PK_Md,url,date
Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,BestBuyAll-Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA-Sat-Aug-19-16-05-07-2023.csv,2d4f9eacb3bb819f8f3bdfc78fdc9426,https://www.bestbuy.com/site/reviews/apple-iphone-13-5g-128gb-unlocked-midnight/6417788?variant=A&skuId=6417788&sort=MOST_RECENT&page=1,Sat-Aug-19-16-05-07-2023
Apple iPhone 14 128GB Midnight (Verizon) MPUA3LLA,BestBuyAll-Apple iPhone 14 128GB Midnight (Verizon) MPUA3LLA-Sat-Aug-19-16-04-55-2023.csv,04e612dee0c01557c6865c81e4cc3c3e,https://www.bestbuy.com/site/reviews/apple-iphone-14-128gb-midnight-verizon/6505109?variant=A&skuId=6505109&sort=MOST_RECENT&page=1,Sat-Aug-19-16-04-55-2023
Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,BestBuyAll-Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172-Sat-Aug-19-16-04-41-2023.csv,0fd8e23cca352854a7ae750538684cc6,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=1,Sat-Aug-19-16-04-41-2023
