PK_Md,reviewId,product,reviewDate,reviewerName,review,rating,recommendation,url
0fd8e23cca352854a7ae750538684cc6,e73934a189b351794a23ed05,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-16,RonM,I use this phone daily and I like it a lot. It looks great and has good performance. If you are an anrdoid user and on the fence about iphone do it Its 100% worth it! Battery came at 100% capacity. Very happy with my purchase,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,63b03a86b298557cd6393a39,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-10,user758347,Amazing phone and such long battery life. Came at 90% battery better then any other phone I have ever had,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,2cda3f6b8d8d41695e96788a,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-09,Anonymous,Nice phone. Touchscreen works nice. Color is still intact. Phone looks brand new. No scratch at all. Phone sounds nice.,4,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,123c3362a131821ffac07ca7,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-08,DavidZ,We love the phone. Its in great condition. we appreciate the recommendation,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,444d398fb96ef547789ed5d0,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-07,AhmedK,very good very clean come  with a charger and a cabel,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,0d263fbc9c542d4db7663617,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-04,ManuelT,the screen was scratched the rear camera also had damage around the lens non-original charger,2,False,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,9a7d397489bf648db676f825,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-04,Lala,So far so good. Easy transfer from old phone. Works well. Still learning new features. No issues.,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,02923535b1476b7812a47986,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-04,ConexioncristianachurchB,Nice phone bought on line. The phone looks like new and was good experience.,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,a67a3ce08b98508d8651ff38,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-03,MichelleF,my daughter loves this color.it was easy and gast to purchase on line and to pick up there was no line ..very good service.,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,55f6304a99b1d03ea140c70e,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-02,Jazmine,My Pre-owned iPhone 12 came in very good condition and im very satisfied with this product overall. Best buy has definitely earned my service !! Thank you Best Buy!,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,380636e58ef7b67acf2b1589,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-06-02,YadiraA,Nice phone love the color. Just what I was looking for.,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,72af328184abd484022cfd7d,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-05-30,RebeccaM,We bought this as a gift for our 26 year old son. So far he loves everything about it!,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=3
0fd8e23cca352854a7ae750538684cc6,51663a1eba3a1b62e58f07a0,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-05-29,Rick,Great deal on a used iPhone that works as I purchased it new. You dont need to always have the newest one to have a quality iPhone. Save a couple hundred dollars and be a year or two behind with a quality used phone.,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=4
0fd8e23cca352854a7ae750538684cc6,bfd433f09f8992b461e97e50,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-05-28,raguxt,The refurbished phone worked without any issues. However I did see some areas where tiny bit of glue squeezed out between the case and screen. Barely noticeable though.,4,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=4
0fd8e23cca352854a7ae750538684cc6,dfaf32279592af125d252652,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-05-27,EVG214,Worked right out of the box. The screen is so clear. Nice phone.,4,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=4
0fd8e23cca352854a7ae750538684cc6,40f13787a72260f21c2f993d,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-05-27,CollinH,Good thing to buy but probably gonna be obsolete in a year,4,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=4
0fd8e23cca352854a7ae750538684cc6,3d243f44aa1250c9ab6a97ad,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-05-27,DemetriusJ,Great phone and the sales person was very helpful with helping me pick out my phone thanks again I really appreciate it….,5,True,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=4
0fd8e23cca352854a7ae750538684cc6,734e37aaa5bd45dcc284530b,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-05-26,Topprasad,Not as described several scratch battery life is not good,1,False,https://www.bestbuy.com/site/reviews/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509?variant=A&skuId=6530509&sort=MOST_RECENT&page=4
