PK_Md,product,endDate,startDate,Reviews,avgRating,recommendationRate,nps
0fd8e23cca352854a7ae750538684cc6,Apple Pre-Owned iPhone 12 5G 64GB (Unlocked) Black A2172,2023-08-19,2022-08-15,120,4.266666666666667,0.825,68.33333333333333
2d4f9eacb3bb819f8f3bdfc78fdc9426,Apple iPhone 13 5G 128GB (Unlocked) Midnight MMM63LLA,2023-08-18,2023-04-07,289,4.8166089965397925,0.9792387543252595,97.57785467128028
04e612dee0c01557c6865c81e4cc3c3e,Apple iPhone 14 128GB Midnight (Verizon) MPUA3LLA,2023-08-18,2022-09-17,151,4.688741721854305,0.9536423841059603,88.74172185430463
